icd10,icd_desc
N00,Acute nephritic syndrome
N00.0,Acute nephritic syndrome- Minor glomerular abnormality 
N00.1,Acute nephritic syndrome- Focal and segmental glomerular lesions 
N00.2,Acute nephritic syndrome- Diffuse membranous glomerulonephritis 
N00.3,Acute nephritic syndrome- Diffuse mesangial proliferative glomerulonephritis 
N00.4,Acute nephritic syndrome- Diffuse endocapillary proliferative glomerulonephritis 
N00.5,Acute nephritic syndrome- Diffuse mesangiocapillary glomerulonephritis 
N00.6,Acute nephritic syndrome- Dense deposit disease 
N00.7,Acute nephritic syndrome- Diffuse crescentic glomerulonephritis 
N00.8,Acute nephritic syndrome- Other 
N00.9,Acute nephritic syndrome- Unspecified 
N01,Rapidly progressive nephritic syndrome
N01.0,Rapidly progressive nephritic syndrome- Minor glomerular abnormality 
N01.1,Rapidly progressive nephritic syndrome- Focal and segmental glomerular lesions 
N01.2,Rapidly progressive nephritic syndrome- Diffuse membranous glomerulonephritis 
N01.3,Rapidly progressive nephritic syndrome- Diffuse mesangial proliferative glomerulonephritis 
N01.4,Rapidly progressive nephritic syndrome- Diffuse endocapillary proliferative glomerulonephritis 
N01.5,Rapidly progressive nephritic syndrome- Diffuse mesangiocapillary glomerulonephritis 
N01.6,Rapidly progressive nephritic syndrome- Dense deposit disease 
N01.7,Rapidly progressive nephritic syndrome- Diffuse crescentic glomerulonephritis 
N01.8,Rapidly progressive nephritic syndrome- Other 
N01.9,Rapidly progressive nephritic syndrome- Unspecified 
N02,Recurrent and persistent haematuria
N02.0,Recurrent and persistent haematuria- Minor glomerular abnormality 
N02.1,Recurrent and persistent haematuria- Focal and segmental glomerular lesions 
N02.2,Recurrent and persistent haematuria- Diffuse membranous glomerulonephritis 
N02.3,Recurrent and persistent haematuria- Diffuse mesangial proliferative glomerulonephritis 
N02.4,Recurrent and persistent haematuria- Diffuse endocapillary proliferative glomerulonephritis 
N02.5,Recurrent and persistent haematuria- Diffuse mesangiocapillary glomerulonephritis 
N02.6,Recurrent and persistent haematuria- Dense deposit disease 
N02.7,Recurrent and persistent haematuria- Diffuse crescentic glomerulonephritis 
N02.8,Recurrent and persistent haematuria- Other 
N02.9,Recurrent and persistent haematuria- Unspecified 
N03,Chronic nephritic syndrome
N03.0,Chronic nephritic syndrome- Minor glomerular abnormality 
N03.1,Chronic nephritic syndrome- Focal and segmental glomerular lesions 
N03.2,Chronic nephritic syndrome- Diffuse membranous glomerulonephritis 
N03.3,Chronic nephritic syndrome- Diffuse mesangial proliferative glomerulonephritis 
N03.4,Chronic nephritic syndrome- Diffuse endocapillary proliferative glomerulonephritis 
N03.5,Chronic nephritic syndrome- Diffuse mesangiocapillary glomerulonephritis 
N03.6,Chronic nephritic syndrome- Dense deposit disease 
N03.7,Chronic nephritic syndrome- Diffuse crescentic glomerulonephritis 
N03.8,Chronic nephritic syndrome- Other 
N03.9,Chronic nephritic syndrome- Unspecified 
N04,Nephrotic syndrome
N04.0,Nephrotic syndrome- Minor glomerular abnormality 
N04.1,Nephrotic syndrome- Focal and segmental glomerular lesions 
N04.2,Nephrotic syndrome- Diffuse membranous glomerulonephritis 
N04.3,Nephrotic syndrome- Diffuse mesangial proliferative glomerulonephritis 
N04.4,Nephrotic syndrome- Diffuse endocapillary proliferative glomerulonephritis 
N04.5,Nephrotic syndrome- Diffuse mesangiocapillary glomerulonephritis 
N04.6,Nephrotic syndrome- Dense deposit disease 
N04.7,Nephrotic syndrome- Diffuse crescentic glomerulonephritis 
N04.8,Nephrotic syndrome- Other 
N04.9,Nephrotic syndrome- Unspecified 
N05,Unspecified nephritic syndrome
N05.0,Unspecified nephritic syndrome- Minor glomerular abnormality 
N05.1,Unspecified nephritic syndrome- Focal and segmental glomerular lesions 
N05.2,Unspecified nephritic syndrome- Diffuse membranous glomerulonephritis 
N05.3,Unspecified nephritic syndrome- Diffuse mesangial proliferative glomerulonephritis 
N05.4,Unspecified nephritic syndrome- Diffuse endocapillary proliferative glomerulonephritis 
N05.5,Unspecified nephritic syndrome- Diffuse mesangiocapillary glomerulonephritis 
N05.6,Unspecified nephritic syndrome- Dense deposit disease 
N05.7,Unspecified nephritic syndrome- Diffuse crescentic glomerulonephritis 
N05.8,Unspecified nephritic syndrome- Other 
N05.9,Unspecified nephritic syndrome- Unspecified 
N06,Isolated proteinuria with specified morphological lesion
N06.0,Isolated proteinuria with specified morphological lesion- Minor glomerular abnormality 
N06.1,Isolated proteinuria with specified morphological lesion- Focal and segmental glomerular lesions 
N06.2,Isolated proteinuria with specified morphological lesion- Diffuse membranous glomerulonephritis 
N06.3,Isolated proteinuria with specified morphological lesion- Diffuse mesangial proliferative glomerulonephritis 
N06.4,Isolated proteinuria with specified morphological lesion- Diffuse endocapillary proliferative glomerulonephritis 
N06.5,Isolated proteinuria with specified morphological lesion- Diffuse mesangiocapillary glomerulonephritis 
N06.6,Isolated proteinuria with specified morphological lesion- Dense deposit disease 
N06.7,Isolated proteinuria with specified morphological lesion- Diffuse crescentic glomerulonephritis 
N06.8,Isolated proteinuria with specified morphological lesion- Other 
N06.9,Isolated proteinuria with specified morphological lesion- Unspecified 
N07,"Hereditary nephropathy, not elsewhere classified"
N07.0,"Hereditary nephropathy, not elsewhere classified- Minor glomerular abnormality "
N07.1,"Hereditary nephropathy, not elsewhere classified- Focal and segmental glomerular lesions "
