icd10,icd_desc
M00,Pyogenic arthritis
M00.0,Staphylococcal arthritis and polyarthritis
M00.1,Pneumococcal arthritis and polyarthritis
M00.2,Other streptococcal arthritis and polyarthritis
M00.8,Arthritis and polyarthritis due to other specified bacterial agents
M00.9,"Pyogenic arthritis, unspecified"
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M01.0,Meningococcal arthritis
M01.1,Tuberculous arthritis
M01.2,Arthritis in Lyme disease
M01.3,Arthritis in other bacterial diseases classified elsewhere
M01.4,Rubella arthritis
M01.5,Arthritis in other viral diseases classified elsewhere
M01.6,Arthritis in mycoses
M01.8,Arthritis in other infectious and parasitic diseases classified elsewhere
M02,Reactive arthropathies
M02.0,Arthropathy following intestinal bypass
M02.1,Postdysenteric arthropathy
M02.2,Postimmunization arthropathy
M02.3,Reiter disease
M02.8,Other reactive arthropathies
M02.9,"Reactive arthropathy, unspecified"
M03,Postinfective and reactive arthropathies in diseases classified elsewhere
M03.0,Postmeningococcal arthritis
M03.1,Postinfective arthropathy in syphilis
M03.2,Other postinfectious arthropathies in diseases classified elsewhere
M03.6,Reactive arthropathy in other diseases classified elsewhere
M05,Seropositive rheumatoid arthritis
M05.0,Felty syndrome
M05.1,Rheumatoid lung disease
M05.2,Rheumatoid vasculitis
M05.3,Rheumatoid arthritis with involvement of other organs and systems
M05.8,Other seropositive rheumatoid arthritis
M05.9,"Seropositive rheumatoid arthritis, unspecified"
M06,Other rheumatoid arthritis
M06.0,Seronegative rheumatoid arthritis
M06.1,Adult-onset Still disease
M06.2,Rheumatoid bursitis
M06.3,Rheumatoid nodule
M06.4,Inflammatory polyarthropathy
M06.8,Other specified rheumatoid arthritis
M06.9,"Rheumatoid arthritis, unspecified"
M07,Psoriatic and enteropathic arthropathies
M07.0,Distal interphalangeal psoriatic arthropathy
M07.1,Arthritis mutilans
M07.2,Psoriatic spondylitis
M07.3,Other psoriatic arthropathies
M07.4,Arthropathy in Crohn disease [regional enteritis]
M07.5,Arthropathy in ulcerative colitis
M07.6,Other enteropathic arthropathies
M08,Juvenile arthritis
M08.0,Juvenile rheumatoid arthritis
M08.1,Juvenile ankylosing spondylitis
M08.2,Juvenile arthritis with systemic onset
M08.3,Juvenile polyarthritis (seronegative)
M08.4,Pauciarticular juvenile arthritis
M08.8,Other juvenile arthritis
M08.9,"Juvenile arthritis, unspecified"
M09,Juvenile arthritis in diseases classified elsewhere
M09.0,Juvenile arthritis in psoriasis
M09.1,Juvenile arthritis in Crohn disease [regional enteritis]
M09.2,Juvenile arthritis in ulcerative colitis
M09.8,Juvenile arthritis in other diseases classified elsewhere
M10,Gout
M10.0,Idiopathic gout
M10.1,Lead-induced gout
M10.2,Drug-induced gout
M10.3,Gout due to impairment of renal function
M10.4,Other secondary gout
M10.9,"Gout, unspecified"
M11,Other crystal arthropathies
M11.0,Hydroxyapatite deposition disease
M11.1,Familial chondrocalcinosis
M11.2,Other chondrocalcinosis
M11.8,Other specified crystal arthropathies
M11.9,"Crystal arthropathy, unspecified"
M12,Other specific arthropathies
M12.0,Chronic postrheumatic arthropathy [Jaccoud]
M12.1,Kaschin-Beck disease
M12.2,Villonodular synovitis (pigmented)
M12.3,Palindromic rheumatism
M12.4,Intermittent hydrarthrosis
M12.5,Traumatic arthropathy
M12.8,"Other specific arthropathies, not elsewhere classified"
M13,Other arthritis
M13.0,"Polyarthritis, unspecified"
M13.1,"Monoarthritis, not elsewhere classified"
M13.8,Other specified arthritis
M13.9,"Arthritis, unspecified"
M14,Arthropathies in other diseases classified elsewhere
M14.0,Gouty arthropathy due to enzyme defects and other inherited disorders
M14.1,Crystal arthropathy in other metabolic disorders
M14.2,Diabetic arthropathy
M14.3,Lipoid dermatoarthritis
M14.4,Arthropathy in amyloidosis
M14.5,"Arthropathies in other endocrine, nutritional and metabolic disorders"
M14.6,Neuropathic arthropathy
M14.8,Arthropathies in other specified diseases classified elsewhere
M15,Polyarthrosis
M15.0,Primary generalized (osteo)arthrosis
M15.1,Heberden nodes (with arthropathy)
M15.2,Bouchard nodes (with arthropathy)
M15.3,Secondary multiple arthrosis
M15.4,Erosive (osteo)arthrosis
M15.8,Other polyarthrosis
M15.9,"Polyarthrosis, unspecified"
