icd10,icd_desc
L00,Staphylococcal scalded skin syndrome
L01,Impetigo
L01.0,Impetigo [any organism] [any site]
L01.1,Impetiginization of other dermatoses
L02,"Cutaneous abscess, furuncle and carbuncle"
L02.0,"Cutaneous abscess, furuncle and carbuncle of face"
L02.1,"Cutaneous abscess, furuncle and carbuncle of neck"
L02.2,"Cutaneous abscess, furuncle and carbuncle of trunk"
L02.3,"Cutaneous abscess, furuncle and carbuncle of buttock"
L02.4,"Cutaneous abscess, furuncle and carbuncle of limb"
L02.8,"Cutaneous abscess, furuncle and carbuncle of other sites"
L02.9,"Cutaneous abscess, furuncle and carbuncle, unspecified"
L03,Cellulitis
L03.0,Cellulitis of finger and toe
L03.1,Cellulitis of other parts of limb
L03.2,Cellulitis of face
L03.3,Cellulitis of trunk
L03.8,Cellulitis of other sites
L03.9,"Cellulitis, unspecified"
L04,Acute lymphadenitis
L04.0,"Acute lymphadenitis of face, head and neck"
L04.1,Acute lymphadenitis of trunk
L04.2,Acute lymphadenitis of upper limb
L04.3,Acute lymphadenitis of lower limb
L04.8,Acute lymphadenitis of other sites
L04.9,"Acute lymphadenitis, unspecified"
L05,Pilonidal cyst
L05.0,Pilonidal cyst with abscess
L05.9,Pilonidal cyst without abscess
L08,Other local infections of skin and subcutaneous tissue
L08.0,Pyoderma
L08.1,Erythrasma
L08.8,Other specified local infections of skin and subcutaneous tissue
L08.9,"Local infection of skin and subcutaneous tissue, unspecified"
L10,Pemphigus
L10.0,Pemphigus vulgaris
L10.1,Pemphigus vegetans
L10.2,Pemphigus foliaceus
L10.3,Brazilian pemphigus [fogo selvagem]
L10.4,Pemphigus erythematosus
L10.5,Drug-induced pemphigus
L10.8,Other pemphigus
L10.9,"Pemphigus, unspecified"
L11,Other acantholytic disorders
L11.0,Acquired keratosis follicularis
L11.1,Transient acantholytic dermatosis [Grover]
L11.8,Other specified acantholytic disorders
L11.9,"Acantholytic disorder, unspecified"
L12,Pemphigoid
L12.0,Bullous pemphigoid
L12.1,Cicatricial pemphigoid
L12.2,Chronic bullous disease of childhood
L12.3,Acquired epidermolysis bullosa
L12.8,Other pemphigoid
L12.9,"Pemphigoid, unspecified"
L13,Other bullous disorders
L13.0,Dermatitis herpetiformis
L13.1,Subcorneal pustular dermatitis
L13.8,Other specified bullous disorders
L13.9,"Bullous disorder, unspecified"
L14,Bullous disorders in diseases classified elsewhere
L20,Atopic dermatitis
L20.0,Besnier prurigo
L20.8,Other atopic dermatitis
L20.9,"Atopic dermatitis, unspecified"
L21,Seborrhoeic dermatitis
L21.0,Seborrhoea capitis
L21.1,Seborrhoeic infantile dermatitis
L21.8,Other seborrhoeic dermatitis
L21.9,"Seborrhoeic dermatitis, unspecified"
L22,Diaper [napkin] dermatitis
L23,Allergic contact dermatitis
L23.0,Allergic contact dermatitis due to metals
L23.1,Allergic contact dermatitis due to adhesives
L23.2,Allergic contact dermatitis due to cosmetics
L23.3,Allergic contact dermatitis due to drugs in contact with skin
L23.4,Allergic contact dermatitis due to dyes
L23.5,Allergic contact dermatitis due to other chemical products
L23.6,Allergic contact dermatitis due to food in contact with skin
L23.7,"Allergic contact dermatitis due to plants, except food"
