smokstatus,medcodeid
non-smoker,1009271000006118
current smoker,102921000006112
current smoker,102951000006115
ex-smoker,1059701000000119
current smoker,108938018
current smoker,1123541000000118
non-smoker,1123751000000113
ex-smoker,1123951000000110
current smoker,1125741000000111
ex-smoker,1151791000000117
current smoker,1152111000000118
non-smoker,1154431000000112
ex-smoker,1154471000000114
current smoker,1175011000000112
current smoker,1176421000000118
current smoker,128130017
current smoker,136515019
current smoker,137711000006111
current smoker,137721000006115
current smoker,137791000006118
non-smoker,14866014
current smoker,1488576014
current smoker,1488577017
current smoker,1488578010
current smoker,1488873010
current smoker,1489355012
current smoker,1538681000006118
current smoker,1591651000006110
current smoker,1592611000000110
current smoker,1704491000006115
current smoker,1704551000006110
current smoker,1704561000006112
current smoker,1709641000000115
current smoker,1714541000006110
current smoker,1715591000006117
current smoker,1750931000000118
current smoker,1780360012
ex-smoker,1780396011
current smoker,1809121000006113
ex-smoker,1809131000006111
current smoker,1819411000006114
current smoker,216212011
current smoker,2170961000000116
current smoker,2251871000000112
current smoker,2251911000000114
current smoker,2462391000000119
current smoker,2462431000000110
current smoker,2474719011
ex-smoker,250363016
ex-smoker,250364010
ex-smoker,250365011
ex-smoker,250366012
ex-smoker,250367015
current smoker,250368013
ex-smoker,250371017
current smoker,250372012
ex-smoker,250373019
ex-smoker,250374013
current smoker,250375014
current smoker,250387019
ex-smoker,2636041000006110
current smoker,2669652019
current smoker,2670126018
current smoker,285792013
current smoker,295256013
current smoker,295257016
current smoker,295258014
ex-smoker,295259018
current smoker,295260011
current smoker,295951010
current smoker,2982426011
current smoker,3256651000006113
current smoker,338608011
current smoker,342444018
current smoker,342445017
ex-smoker,342574011
current smoker,344793011
current smoker,344794017
current smoker,344795016
current smoker,3959111000006111
current smoker,3959121000006115
current smoker,3959141000006110
non-smoker,397732011
current smoker,397733018
current smoker,397911000006114
current smoker,4180321000006116
current smoker,4180331000006118
ex-smoker,418914010
current smoker,459722017
current smoker,460828018
current smoker,461114016
current smoker,4765711000006110
current smoker,4765721000006119
ex-smoker,4765751000006111
ex-smoker,482771000000118
ex-smoker,482871000000111
ex-smoker,489931000000114
ex-smoker,492511000000117
current smoker,4939251000006118
current smoker,503483019
ex-smoker,5495901000006112
non-smoker,5495921000006119
current smoker,5495941000006114
current smoker,5495951000006111
ex-smoker,5496031000006112
current smoker,604961000006114
ex-smoker,649821000006115
ex-smoker,649831000006117
ex-smoker,649841000006110
ex-smoker,649851000006112
ex-smoker,649861000006114
current smoker,67621000006112
current smoker,700121000006118
current smoker,743331000006116
current smoker,78013015
current smoker,8153371000006117
current smoker,8153381000006119
current smoker,8190531000006112
current smoker,819331000006110
current smoker,852111000006118
ex-smoker,852121000006114
current smoker,852981000006111
ex-smoker,852991000006114
ex-smoker,853001000006110
current smoker,854021000006115
ex-smoker,854051000006112
current smoker,854071000006119
ex-smoker,854111000006110
ex-smoker,854151000006111
non-smoker,854951000006113
current smoker,854961000006110
current smoker,854981000006117
current smoker,855001000006114
current smoker,88471000006112
ex-smoker,903041000006110
current smoker,903981000006117
current smoker,904001000006111
current smoker,904021000006118
current smoker,904031000006115
current smoker,904041000006113
current smoker,904051000006110
non-smoker,904111000006113
current smoker,904121000006117
current smoker,904221000006110
current smoker,909391000006117
current smoker,961581000006114
current smoker,981841000006115
current smoker,99639019
